Idade,RendaAnual,NumeroCompras,ComprouRecente,CategoriaCliente
43,71195,18,Sim,Regular
64,40581,3,Sim,Regular
39,72648,17,Não,Regular
64,50087,4,Sim,Regular
47,69930,4,Não,Premium
60,52981,14,Não,Regular
65,89298,9,Sim,Regular
34,66167,9,Não,Premium
43,95304,25,Sim,Regular
53,63408,26,Sim,Premium
18,59499,23,Não,Premium
25,72269,18,Sim,Premium
66,58559,10,Não,Premium
52,94319,21,Sim,Premium
69,115317,4,Sim,Regular
32,116347,12,Sim,Premium
64,68787,27,Sim,Premium
39,55488,8,Sim,Regular
31,94441,2,Não,Regular
43,94663,22,Não,Premium
45,42431,13,Não,Regular
40,81681,21,Não,Regular
31,83483,16,Não,Premium
41,69153,28,Não,Premium
19,26368,2,Sim,Regular
62,47424,11,Sim,Premium
43,65004,10,Não,Premium
31,103869,15,Não,Regular
68,108652,17,Sim,Premium
24,76985,8,Sim,Premium
20,70069,18,Sim,Premium
64,72326,23,Não,Premium
40,101061,9,Não,Premium
63,43398,25,Não,Regular
60,118393,8,Sim,Regular
64,70861,27,Sim,Premium
62,95897,14,Não,Regular
35,101905,28,Não,Premium
55,88577,26,Sim,Premium
